Source,Target
rudalantarbenua,sneezygirl2
rudalantarbenua,kopididid
rudalantarbenua,_RyanKu
xvbthetic,tanyarlfes
satrio_ari,tanyakanrl
wong_clayten,fajarnugros
Fkhrhsni,modeainin
arhesvisha,SBYudhoyono
arhesvisha,msaid_didu
arhesvisha,abigailimuriaa
arhesvisha,sigitwid
arhesvisha,Y_D_Y_P
arhesvisha,abigailimuriaa
arhesvisha,SherlockGantan
arhesvisha,humaira979
arhesvisha,denismalhotra
masduke_x,PetrolWeeb
hwang_hyunj1n,convomf
zuniarfitrah,sigitwid
notyourbaehehe,starfess
notyourbaehehe,theothentic
cupus909,tanyakanrl
tejawijaya31,BaleBengong
NBR90,tempodotco
KamissWagee,lira1ssl
KamissWagee,cobeh2022
whotfismitty,Ogaman888
whotfismitty,arkassssabbiqe
whotfismitty,footycinephile
Kirana60393630,FayaAtika
MahrezNabil2016,aewin86
MahrezNabil2016,hypergengsi
MahrezNabil2016,vizharra
wawan20609915,ScherazadeMS
alexsetiawan02,RadioElshinta
hendraddict,tempodotco
Armyn_AP,tangguhph_
Armyn_AP,irfantf
roy1alien,detikfinance
MubaraBakar,RadioElshinta
Ogaman888,footycinephile
Ogaman888,hypergengsi
Ogaman888,Demizuu1
Ogaman888,ferdiii220_
Ogaman888,Mealvid
Demizuu1,Ogaman888
Demizuu1,footycinephile
Demizuu1,hypergengsi
Demizuu1,ferdiii220_
Demizuu1,Mealvid
PribumiArema,ronaldy596
kring_pajak,mynameis_g72
CahyoMahanani,tempodotco
abuhanzhalah1,NenkMonica
muhammadun_al,BANGSAygSUJUD
muhammadun_al,prabowo
Earthwithoutyou,aewin86
Earthwithoutyou,hypergengsi
Earthwithoutyou,yusufagro
baesunyrizaldi,ARSIPAJA
jasmineavline,sunkissingpeach
cakkadull,danurumbara
svnelv,ditoverge
svnelv,_mardial_
Alfienzy,asumsico
official99944,BudiBukanIntel
cumaJamal,BosPurwa
cumaJamal,prabowo
cumaJamal,susipudjiastuti
IhsanMuch,jek___
ajoraharjo,ibunya_gian
HidayatMazz,Tan_Mar3M
mochacieno,kleponwajik
mochacieno,footycinephile
opooposihsi007,CakD3pp
wahju_wibowo,jokowi
wahju_wibowo,asumsico
CahyoMahanani,tempodotco
CahyoMahanani,JhonSitorus_18
tegarhafidz,prastow
cherrybuumbz,ony0urmarkiz
Fatih_hoppus,fajarnugros
Ra_meldo,MardaniAliSera
Ra_meldo,prabowo
satia_nagara,Ko_aliong
Kasayanto_,didienAZHAR
Los_Pogos,tidar_pp
Los_Pogos,prabowo
satia_nagara,tempodotco
wannafigh,LexWu_13
amelcewaw,TOM5helby
Abou_Omar20,KompasTV
Abou_Omar20,Dahnilanzar
Abou_Omar20,prabowo
praba127,DjumadiPartose1
praba127,DPR_RI
praba127,AnakPetaniBiasa
rizkyimanpusoko,NenkMonica
zamire,DIDIK_RODENT
zamire,blisonny
a_brecetan,PreciosaKanti
zenstrive,NenkMonica
napierstation,aewin86
berdamai_dungu,TOM5helby
masguntur01,nabiylarisfa
Mr_coolsz,jokowi
